Sample ID,Mid depth CCSF-361-U1475-BCDEF-20160305 (m),SS mean,SS Std
"361-U1475E-3H-5, 0-2",22.459,24.99,0.216564078
"361-U1475E-3H-5, 4-6",22.499,24.54,0.014142136
"361-U1475E-3H-5, 8-10",22.539,24.385,0.021213203
"361-U1475E-3H-5, 12-14",22.579,23.93,0.197989899
"361-U1475E-3H-5, 16-18",22.619,23.52,0.042426407
"361-U1475E-3H-5, 20-22",22.659,25.15,0.070710678
"361-U1475E-3H-5, 24-26",22.699,23.315,0.176776695
"361-U1475E-3H-5, 28-30",22.739,23.465,0.021213203
"361-U1475E-3H-5, 32-34",22.779,24.135,0.106066017
"361-U1475E-3H-5, 36-38",22.819,22.51,0.113137085
"361-U1475E-3H-5, 40-42",22.859,24.2,0.042426407
"361-U1475E-3H-5, 44-46",22.899,22.21,0.042426407
"361-U1475E-3H-5, 48-50",22.939,21.985,0.007071068
"361-U1475E-3H-5, 52-54",22.979,23.53,0.056568542
"361-U1475E-3H-5, 56-58",23.019,23.10666667,0.182300119
"361-U1475E-3H-5, 60-62",23.059,22.945,0.16263456
"361-U1475E-3H-5, 64-66",23.099,24.805,0.120208153
"361-U1475E-3H-5, 68-70",23.139,22.045,0.190918831
"361-U1475E-3H-5, 72-74",23.179,22.25,0.084852814
"361-U1475E-3H-5, 76-78",23.219,21.055,0.021213203
"361-U1475E-3H-5, 80-82",23.259,22.31,0.014142136
"361-U1475E-3H-5, 84-86",23.299,21.75,0.056568542
"361-U1475E-3H-5, 88-90",23.339,21.615,0.176776695
"361-U1475E-3H-5, 92-94",23.379,21.67,0.056568542
"361-U1475E-3H-5, 96-98",23.419,22.89,0.028284271
"361-U1475E-3H-5, 100-102",23.459,22.44,0.028284271
"361-U1475E-3H-5, 104-106",23.499,23.18,0.014142136
"361-U1475E-3H-5, 108-110",23.539,24.095,0.021213203
"361-U1475E-3H-5, 112-114",23.579,22.69,0.212132034
"361-U1475F-2H-3, 20-22",23.624,23.76,0.028284271
"361-U1475F-2H-3, 24-26",23.664,23.74666667,0.254820198
"361-U1475F-2H-3, 28-30",23.704,24.895,0.021213203
"361-U1475F-2H-3, 32-34",23.744,25.195,0.007071068
"361-U1475F-2H-3, 36-38",23.784,25.17,0.084852814
"361-U1475F-2H-3, 40-42",23.824,26.245,0.148492424
"361-U1475F-2H-3, 44-46",23.864,25.085,0.035355339
"361-U1475F-2H-3, 48-50",23.904,26.585,0.106066017
"361-U1475F-2H-3, 52-54",23.944,26.565,0.049497475
"361-U1475F-2H-3, 56-58",23.984,27.985,0.021213203
"361-U1475F-2H-3, 60-62",24.024,28.53,0.070710678
"361-U1475F-2H-3, 64-66",24.064,25.63,0.070710678
"361-U1475F-2H-3, 68-70",24.104,24.63,0.014142136
"361-U1475F-2H-3, 72-74",24.144,,
"361-U1475F-2H-3, 76-78",24.184,26.925,0.035355339
"361-U1475F-2H-3, 80-82",24.224,27.64,0.22627417
"361-U1475F-2H-3, 84-86",24.264,26.005,0.134350288
"361-U1475F-2H-3, 88-90",24.304,25.56,0.084852814
"361-U1475F-2H-3, 92-94",24.344,26.255,0.16263456
"361-U1475F-2H-3, 96-98",24.384,25.92,0.282842712
"361-U1475F-2H-3, 100-102",24.424,24.31,0.084852814
"361-U1475F-2H-3, 104-106",24.464,23.355,0.007071068
"361-U1475F-2H-3, 108-110",24.504,22.375,0.120208153
"361-U1475F-2H-3, 112-114",24.544,22.725,0.091923882
"361-U1475F-2H-3, 116-118",24.584,20.885,0.077781746
"361-U1475F-2H-3, 120-122",24.624,19.475,0.134350288
"361-U1475F-2H-3, 124-126",24.664,20.315,0.007071068
"361-U1475F-2H-3, 128-130",24.704,20.66,0.042426407
"361-U1475F-2H-3, 132-134",24.744,20.975,0.021213203
"361-U1475F-2H-3, 136-138",24.784,21.205,0.06363961
"361-U1475F-2H-3, 140-142",24.824,22.265,0.049497475
"361-U1475F-2H-3, 144-146",24.864,22.41,0.042426407
"361-U1475F-2H-3, 148-150",24.904,22.935,0.049497475
"361-U1475F-2H-4, 2-4",24.944,21.6,0.141421356
"361-U1475F-2H-4, 6-8",24.984,22.01,0.113137085
"361-U1475F-2H-4, 10-12",25.024,22.315,0.134350288
"361-U1475F-2H-4, 14-16",25.064,23.61,0.155563492
"361-U1475F-2H-4, 18-20",25.104,21.4,0
"361-U1475F-2H-4, 22-24",25.144,22.225,0.106066017
"361-U1475F-2H-4, 26-28",25.184,22.61,0.141421356
"361-U1475F-2H-4, 30-32",25.224,21.345,0.021213203
"361-U1475F-2H-4, 34-36",25.264,21.405,0.021213203
"361-U1475F-2H-4, 38-40",25.304,20.765,0.190918831
"361-U1475F-2H-4, 42-44",25.344,20.01,0.014142136
"361-U1475F-2H-4, 46-48",25.384,21.03,0.197989899
"361-U1475F-2H-4, 50-52",25.424,20.5,0.127279221
"361-U1475F-2H-4, 54-56",25.464,21.635,0.06363961
"361-U1475F-2H-4, 58-60",25.504,22.87,0.028284271
"361-U1475F-2H-4, 62-64",25.544,23.33,0.169705627
