Sample ID,Depth (m),SS mean
MD02-2588-454.5,454.5,23.0246
MD02-2588-455.5,455.5,24.2753
MD02-2588-456.5,456.5,24.0819
MD02-2588-457.5,457.5,22.9106
MD02-2588-458.5,458.5,24.0484
MD02-2588-459.5,459.5,23.1847
MD02-2588-460.5,460.5,25.0354
MD02-2588-461.5,461.5,22.9253
MD02-2588-462.5,462.5,21.92
MD02-2588-463.5,463.5,22.9904
MD02-2588-464.5,464.5,22.8878
MD02-2588-465.5,465.5,22.8117
MD02-2588-466.5,466.5,23.0852
MD02-2588-467.5,467.5,21.9472
MD02-2588-468.5,468.5,22.2089
MD02-2588-469.5,469.5,21.461
MD02-2588-470.5,470.5,22.6851
MD02-2588-471.5,471.5,22.2325
MD02-2588-472.5,472.5,22.5329
MD02-2588-473.5,473.5,22.2956
MD02-2588-474.5,474.5,20.5579
MD02-2588-475.5,475.5,21.621
MD02-2588-476.5,476.5,21.6877
MD02-2588-477.5,477.5,23.4088
MD02-2588-478.5,478.5,22.0845
MD02-2588-479.5,479.5,22.7197
MD02-2588-480.5,480.5,20.1339
MD02-2588-481.5,481.5,23.0907
MD02-2588-482.5,482.5,23.1599
MD02-2588-483.5,483.5,20.8912
MD02-2588-484.5,484.5,20.7991
MD02-2588-485.5,485.5,23.5479
MD02-2588-486.5,486.5,21.2457
MD02-2588-487.5,487.5,21.5029
MD02-2588-488.5,488.5,22.246
MD02-2588-489.5,489.5,20.6224
MD02-2588-490.5,490.5,24.2443
MD02-2588-491.5,491.5,22.4074
MD02-2588-492.5,492.5,23.4802
MD02-2588-493.5,493.5,23.2413
MD02-2588-494.5,494.5,23.899
MD02-2588-495.5,495.5,23.4773
MD02-2588-496.5,496.5,23.9959
MD02-2588-497.5,497.5,22.3815
MD02-2588-498.5,498.5,22.0691
MD02-2588-499.5,499.5,21.0734
MD02-2588-500.5,500.5,22.5357
MD02-2588-501.5,501.5,22.3588
MD02-2588-502.5,502.5,23.1862
MD02-2588-503.5,503.5,25.1605
MD02-2588-504.5,504.5,22.3362
MD02-2588-505.5,505.5,22.6763
MD02-2588-506.5,506.5,21.4533
MD02-2588-507.5,507.5,22.684
MD02-2588-508.5,508.5,23.0499
MD02-2588-509.5,509.5,24.1275
MD02-2588-510.5,510.5,21.8105
MD02-2588-511.5,511.5,21.82
MD02-2588-512.5,512.5,20.4523
MD02-2588-513.5,513.5,23.3236
MD02-2588-514.5,514.5,22.5111
MD02-2588-515.5,515.5,24.5233
MD02-2588-516.5,516.5,23.3467
MD02-2588-517.5,517.5,25.6546
MD02-2588-518.5,518.5,24.1535
MD02-2588-519.5,519.5,25.4665
MD02-2588-520.5,520.5,24.8258
MD02-2588-521.5,521.5,25.1684
MD02-2588-522.5,522.5,23.5244
MD02-2588-523.5,523.5,23.2453
MD02-2588-524.5,524.5,22.2358
MD02-2588-525.5,525.5,22.4616
MD02-2588-526.5,526.5,22.9792
MD02-2588-527.5,527.5,22.6788
MD02-2588-528.5,528.5,23.9653
MD02-2588-529.5,529.5,22.9528
MD02-2588-530.5,530.5,24.9081
MD02-2588-531.5,531.5,23.1436
MD02-2588-532.5,532.5,23.6943
MD02-2588-533.5,533.5,23.2843
MD02-2588-534.5,534.5,24.9395
MD02-2588-535.5,535.5,25.687
MD02-2588-536.5,536.5,22.2268
MD02-2588-537.5,537.5,24.0061
MD02-2588-538.5,538.5,23.1409
MD02-2588-539.5,539.5,26.2471
MD02-2588-540.5,540.5,22.8704
MD02-2588-541.5,541.5,23.3299
MD02-2588-542.5,542.5,25.3788
MD02-2588-543.5,543.5,22.2365
MD02-2588-544.5,544.5,27.8182
MD02-2588-545.5,545.5,23.5094
MD02-2588-546.5,546.5,23.56
MD02-2588-547.5,547.5,23.8861
MD02-2588-548.5,548.5,25.3117
MD02-2588-549.5,549.5,24.1337
MD02-2588-550.5,550.5,23.2931
MD02-2588-551.5,551.5,23.0419
MD02-2588-552.5,552.5,22.5043
MD02-2588-553.5,553.5,21.5662
MD02-2588-554.5,554.5,22.0387
MD02-2588-555.5,555.5,22.7863
MD02-2588-556.5,556.5,19.9969
MD02-2588-557.5,557.5,22.1615
MD02-2588-558.5,558.5,22.4281
MD02-2588-559.5,559.5,20.7583
MD02-2588-560.5,560.5,21.2486
MD02-2588-561.5,561.5,22.4847
MD02-2588-562.5,562.5,20.9733
MD02-2588-563.5,563.5,21.041
MD02-2588-564.5,564.5,22.1302
MD02-2588-565.5,565.5,23.1522
MD02-2588-566.5,566.5,18.8009
MD02-2588-567.5,567.5,21.8289
MD02-2588-568.5,568.5,21.6946
MD02-2588-569.5,569.5,21.7149
MD02-2588-570.5,570.5,20.971
MD02-2588-571.5,571.5,23.2639
MD02-2588-572.5,572.5,22.5635
MD02-2588-573.5,573.5,22.2167
MD02-2588-574.5,574.5,21.5518
MD02-2588-575.5,575.5,23.9982
MD02-2588-576.5,576.5,23.5559
MD02-2588-577.5,577.5,23.0502
MD02-2588-578.5,578.5,20.6652
MD02-2588-579.5,579.5,23.1754
MD02-2588-580.5,580.5,20.0416
MD02-2588-581.5,581.5,20.5266
MD02-2588-582.5,582.5,21.3333
MD02-2588-583.5,583.5,22.8712
MD02-2588-584.5,584.5,22.6601
MD02-2588-585.5,585.5,19.248
MD02-2588-586.5,586.5,21.6759
MD02-2588-587.5,587.5,21.0138
MD02-2588-588.5,588.5,22.577
MD02-2588-589.5,589.5,18.7629
MD02-2588-590.5,590.5,23.0409
MD02-2588-591.5,591.5,21.737
MD02-2588-592.5,592.5,21.5655
MD02-2588-593.5,593.5,22.3964
MD02-2588-594.5,594.5,22.2093
MD02-2588-595.5,595.5,20.6061
MD02-2588-596.5,596.5,21.4107
MD02-2588-597.5,597.5,20.8127
MD02-2588-598.5,598.5,21.5752
MD02-2588-599.5,599.5,22.8619
MD02-2588-600.5,600.5,21.0314
MD02-2588-601.5,601.5,21.3742
MD02-2588-602.5,602.5,21.2715
MD02-2588-603.5,603.5,20.4708
MD02-2588-604.5,604.5,20.8149
MD02-2588-605.5,605.5,20.7917
MD02-2588-606.5,606.5,19.4795
MD02-2588-607.5,607.5,21.3936
MD02-2588-608.5,608.5,21.5632
MD02-2588-609.5,609.5,20.1729
MD02-2588-610.5,610.5,20.2347
MD02-2588-611.5,611.5,19.9858
MD02-2588-612.5,612.5,20.399
MD02-2588-613.5,613.5,18.6335
MD02-2588-614.5,614.5,19.7668
MD02-2588-615.5,615.5,19.6457
MD02-2588-616.5,616.5,19.2745
MD02-2588-617.5,617.5,20.7579
MD02-2588-618.5,618.5,19.8078
MD02-2588-619.5,619.5,20.0355
MD02-2588-620.5,620.5,20.1349
MD02-2588-621.5,621.5,18.7012
MD02-2588-622.5,622.5,20.8714
MD02-2588-623.5,623.5,20.6387
MD02-2588-624.5,624.5,19.9266
MD02-2588-625.5,625.5,20.5538
MD02-2588-626.5,626.5,20.6796
MD02-2588-627.5,627.5,16.6062
MD02-2588-628.5,628.5,20.3613
MD02-2588-629.5,629.5,20.0674
MD02-2588-630.5,630.5,20.158
MD02-2588-631.5,631.5,20.3815
MD02-2588-632.5,632.5,19.9552
MD02-2588-633.5,633.5,19.5654
MD02-2588-634.5,634.5,20.861
MD02-2588-635.5,635.5,20.6359
MD02-2588-636.5,636.5,20.862
MD02-2588-637.5,637.5,20.7622
MD02-2588-638.5,638.5,21.6546
MD02-2588-639.5,639.5,21.7963
MD02-2588-640.5,640.5,22.3169
MD02-2588-641.5,641.5,21.4007
MD02-2588-642.5,642.5,21.6039
MD02-2588-643.5,643.5,21.8115
