,Sample ID,Depth (m),APcomp Depth (m),Cwu d18O (VPDB),Cwu d13C (VPDB),n specimens G. trunc,Gtrunc d18O (VDPB),Gtrunc d13C (VPDB),sample weight (g),IRD #/g,IRD MAR ,SS mean,SS Std
1637,"361-U1475E-4H-5, 42-44",33.621,34.776,3.952,-0.325,7,,,64.18644634,64.18644634,144.4919076,25.165,0.007071068
1638,"361-U1475E-4H-5, 46-48",33.661,34.816,3.779,-0.022,5,,,49.91118236,49.91118236,109.9422732,25.35,0.056568542
1639,"361-U1475E-4H-5, 50-52",33.701,34.856,3.85,0.057,4,,,8.696046017,8.696046017,19.27564743,26.14666667,0.251064401
1640,"361-U1475E-4H-5, 54-56",33.741,34.896,3.517,-0.132,10,,,51.61059092,51.61059092,116.5053744,25.605,0.007071068
1641,"361-U1475E-4H-5, 58-60",33.781,34.936,3.634,0.162,7,,,15.07443,15.07443,33.91031326,25.76,0.056568542
1642,"361-U1475E-4H-5, 62-64",33.821,34.976,3.831,0.168,8,,,32.83594852,32.83594852,73.96576293,27.13,0.014142136
1643,"361-U1475E-4H-5, 66-68",33.861,35.016,3.369,-0.406,15,,,40.25157233,40.25157233,90.34168325,26.36,0.197989899
1644,"361-U1475E-4H-5, 70-72",33.901,35.056,3.601,0.189,9,,,5.829045038,5.829045038,13.24167,26.10333333,0.211266025
1645,"361-U1475E-4H-5, 74-76",33.941,35.096,,,,,,,,0,,
1646,"361-U1475E-4H-5, 78-80",33.981,35.136,3.136,0.738,6,,,2.479659047,2.479659047,5.455586857,24.17,0.028284271
1647,"361-U1475E-4H-5, 82-84",34.021,35.176,3.117,0.229,6,,,1.777777778,1.777777778,3.984392842,23.455,0.077781746
1648,"361-U1475E-4H-5, 86-88",34.061,35.216,3.024,0.702,6,,,0,0,0,24.99,0.042426407
1649,"361-U1475E-4H-5, 90-92",34.101,35.256,2.975,0.66,10,,,3.302501387,3.302501387,7.388163248,23.235,0.077781746
1650,"361-U1475E-4H-5, 94-96",34.141,35.296,2.902,0.681,14,,,1.183694607,1.183694607,2.707416831,23.96,0.056568542
1651,"361-U1475E-4H-5, 98-100",34.181,35.336,3.006,0.417,6,,,3.28837508,3.28837508,7.47489575,23.225,0.091923882
1652,"361-U1475E-4H-5, 102-104",34.221,35.376,3.258,0.271,5,,,2.261324288,2.261324288,5.141596199,23.83,0.286879766
1653,"361-U1475E-4H-5, 106-108",34.261,35.416,3.1,0.42,9,,,1.522721865,1.522721865,3.472877013,24.01,0.22627417
1654,"361-U1475E-4H-5, 110-112",34.301,35.456,3.051,0.298,,,,0,0,0,22.45,0.014142136
1655,"361-U1475E-4H-5, 114-116",34.341,35.496,2.938,0.332,8,,,0,0,0,25.69333333,0.221885857
